Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure (In Months),Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,Distance from Home Missing,Company Tenure (In Months) Missing,Early Start Flag,Tenure Definition Review,Income IQR Flag,Left
8410,31,Male,19,Education,5390,Excellent,Medium,Average,2,No,22.0,Associate Degree,Married,0,Mid,Medium,89.0,No,No,No,Excellent,Medium,Stayed,False,False,True,True,False,0
64756,59,Female,4,Media,5534,Poor,High,Low,3,No,21.0,Master's Degree,Divorced,3,Mid,Medium,21.0,No,No,No,Fair,Low,Stayed,False,False,False,True,False,0
30257,24,Female,10,Healthcare,8159,Good,High,Low,0,No,11.0,Bachelor's Degree,Married,3,Mid,Medium,74.0,No,No,No,Poor,Low,Stayed,False,False,False,True,False,0
65791,36,Female,7,Education,3989,Good,High,High,1,No,27.0,High School,Single,2,Mid,Small,50.0,Yes,No,No,Good,Medium,Stayed,False,False,False,True,False,0
65026,56,Male,41,Education,4821,Fair,Very High,Average,0,Yes,71.0,High School,Divorced,0,Senior,Medium,68.0,No,No,No,Fair,Medium,Stayed,False,False,False,True,False,0
24368,38,Female,3,Technology,9977,Fair,High,Below Average,3,No,37.0,Bachelor's Degree,Married,0,Mid,Medium,47.0,No,No,Yes,Fair,High,Left,False,False,False,False,False,1
64970,47,Male,23,Education,3681,Fair,High,High,1,Yes,75.0,High School,Divorced,3,Entry,Small,93.0,No,No,No,Good,Medium,Left,False,False,False,True,False,1
36999,48,Male,16,Finance,11223,Excellent,Very High,High,2,No,5.0,Master's Degree,Married,4,Entry,Medium,88.0,No,No,No,Excellent,Low,Stayed,False,False,False,True,False,0
32714,57,Male,44,Education,3773,Good,Medium,High,1,Yes,39.0,High School,Married,4,Entry,Medium,75.0,No,No,No,Fair,Medium,Stayed,False,False,True,True,False,0
15944,24,Female,1,Healthcare,7319,Poor,High,Average,1,Yes,57.0,PhD,Single,4,Entry,Large,56.0,No,No,Yes,Good,Low,Left,False,True,False,False,False,1
29972,30,Female,12,Education,5443,Good,High,Average,1,No,51.0,High School,Single,1,Entry,Small,56.0,No,No,No,Good,Medium,Left,False,True,False,False,False,1
9063,29,Female,6,Healthcare,8950,Poor,Medium,Low,2,No,26.0,Master's Degree,Single,0,Mid,Medium,56.0,No,No,No,Poor,Medium,Left,False,True,False,False,False,1
21896,47,Female,38,Technology,9039,Fair,Very High,High,1,No,78.0,Associate Degree,Married,0,Entry,Small,56.0,No,No,No,Good,Low,Left,False,True,True,False,False,1
28098,31,Male,22,Healthcare,8090,Fair,Medium,High,4,Yes,30.0,Associate Degree,Divorced,2,Mid,Small,56.0,No,No,No,Good,Medium,Stayed,False,True,True,False,False,0
22068,40,Female,30,Technology,6350,Good,High,Average,0,No,98.0,High School,Single,0,Senior,Large,56.0,No,No,No,Good,High,Stayed,False,True,True,False,False,0
17696,40,Female,4,Finance,5176,Poor,High,Average,0,No,48.0,High School,Single,0,Entry,Small,21.0,Yes,No,No,Good,High,Left,False,False,False,True,False,1
