category,n,left,left_share_pct,ci_low_pct,ci_high_pct,feature
Female,33672,17850,53.011404133998575,52.47800829474871,53.544112941568024,Gender
Male,40826,17520,42.913829422426886,42.43440491274855,43.3945873309869,Gender
Education,15658,7636,48.76740324434794,47.98488052451224,49.55053061462552,Job Role
Finance,10448,4903,46.927641653905056,45.972016296586595,47.885525433935996,Job Role
Healthcare,17074,8112,47.51083518800515,46.762427743535525,48.260362448951135,Job Role
Media,11996,5620,46.848949649883295,45.957133122238346,47.74278364254282,Job Role
Technology,19322,9099,47.09139840596212,46.38823537530154,47.795717740556285,Job Role
Excellent,13432,4789,35.65366289458011,34.847857553591446,36.46767179518759,Work-Life Balance
Fair,22529,12967,57.55692662790182,56.910291465647745,58.200985140202064,Work-Life Balance
Good,28158,11368,40.37218552454009,39.80045968582974,40.9465379566069,Work-Life Balance
Poor,10379,6246,60.17920801618653,59.23383065772603,61.11705313820161,Work-Life Balance
High,37245,16759,44.99664384481138,44.49194442907678,45.50237524897207,Job Satisfaction
Low,7457,3936,52.78262035671182,51.648393615302304,53.91398165148963,Job Satisfaction
Medium,14717,6679,45.382890534755724,44.57984237965083,46.18834839394322,Job Satisfaction
Very High,15079,7996,53.02738908415677,52.23013013389195,53.82310593898385,Job Satisfaction
Average,44719,20607,46.081084102954,45.61944895373617,46.54339248104321,Performance Rating
Below Average,11139,5746,51.584522847652394,50.65607480896638,52.511878368008645,Performance Rating
High,14910,6889,46.20389000670691,45.404723412410874,47.005012180356296,Performance Rating
Low,3730,2128,57.05093833780161,55.455931245998414,58.63143710643648,Performance Rating
No,50157,22836,45.52903881811113,45.09357584551275,45.96518658836321,Overtime
Yes,24341,12534,51.49336510414527,50.865330117956354,52.12092880358858,Overtime
Associate Degree,18649,9077,48.67285109121133,47.95583802689137,49.39041079480802,Education Level
Bachelor's Degree,22331,10931,48.949890287044916,48.29448308653585,49.605658712703224,Education Level
High School,14680,7098,48.35149863760218,47.543649329791656,49.16021047857438,Education Level
Master's Degree,15021,7332,48.811663670860796,48.01270306729152,49.61123192744073,Education Level
PhD,3817,932,24.41708147760021,23.080402247018675,25.805202637440605,Education Level
Divorced,11078,4521,40.81061563459108,39.89873335263769,41.728868814695005,Marital Status
Married,37419,13485,36.03784173815441,35.552842506546426,36.52570740394645,Marital Status
Single,26001,17364,66.78204684435214,66.20711278207177,67.35202278820046,Marital Status
Entry,29780,18843,63.27400940228341,62.72482864654795,63.81976604897136,Job Level
Mid,29678,13479,45.417480962328995,44.851650597065095,45.9844974775966,Job Level
Senior,15040,3048,20.26595744680851,19.631151577034025,20.91594854707795,Job Level
Large,14912,6942,46.55311158798283,45.75350167969809,47.35449693480799,Company Size
Medium,37231,17324,46.531116542666055,46.024838779710805,47.038110063896795,Company Size
Small,22355,11104,49.671214493401926,49.01590475186694,50.326637211808865,Company Size
No,60300,31861,52.83747927031509,52.4388747885843,53.23572224738854,Remote Work
Yes,14198,3509,24.714748556134666,24.012126206446588,25.431049730850354,Remote Work
No,70845,33732,47.61380478509422,47.24618083619698,47.98168749533371,Leadership Opportunities
Yes,3653,1638,44.83985765124555,43.233362764979724,46.457193846638326,Leadership Opportunities
No,62394,29919,47.95172612751226,47.55986797633193,48.34383647843383,Innovation Opportunities
Yes,12104,5451,45.034699272967615,44.15007133758298,45.92247789352435,Innovation Opportunities
Excellent,7414,3259,43.95737793363906,42.831007570881845,45.09000685125103,Company Reputation
Fair,14786,7655,51.77194643581767,50.96617540978274,52.576796984201124,Company Reputation
Good,37182,15988,42.999300736915714,42.49683565494423,43.503212224125335,Company Reputation
Poor,15116,8468,56.020111140513364,55.227403392922426,56.80975986012371,Company Reputation
High,18550,8734,47.08355795148248,46.365935525046616,47.80238804071499,Employee Recognition
Low,29620,14163,47.81566509115463,47.24711815866273,48.38477852901447,Employee Recognition
Medium,22657,10784,47.596769210398556,46.94693024658439,48.24742296408994,Employee Recognition
Very High,3671,1689,46.00926178153092,44.401999514345846,47.62486740540347,Employee Recognition
