contrast,scenario,exposed_n,reference_n,difference_pp,ci_low_pp,ci_high_pp
Overtime,Median / retain flags,24341,50157,5.964326286034144,5.199700350446566,6.728174567673364
Overtime,Role-level median,24341,50157,5.964326286034144,5.199700350446566,6.728174567673364
Overtime,Complete case,23022,47536,6.110897619156441,5.324901450999773,6.895966302585515
Overtime,Exclude early-start flags,18599,38075,5.920389184925362,5.044615889851372,6.795105247019658
Overtime,Income IQR capping,24341,50157,5.964326286034144,5.199700350446566,6.728174567673364
Limited remote access,Median / retain flags,60300,14198,28.12273071418042,27.302991178867565,28.93036654490459
Limited remote access,Role-level median,60300,14198,28.12273071418042,27.302991178867565,28.93036654490459
Limited remote access,Complete case,58058,12500,28.221045988494264,27.35632771565116,29.0718705850811
Limited remote access,Exclude early-start flags,45873,10801,28.14735408068301,27.20470468952335,29.07418940020538
Limited remote access,Income IQR capping,60300,14198,28.12273071418042,27.302991178867565,28.93036654490459
Poor or fair balance,Median / retain flags,32908,41590,19.535698742693974,18.825057134665105,20.243510346720957
Poor or fair balance,Role-level median,32908,41590,19.535698742693974,18.825057134665105,20.243510346720957
Poor or fair balance,Complete case,31174,39384,19.448652606787885,18.718280437790686,20.17602773116891
Poor or fair balance,Exclude early-start flags,24981,31693,19.13219041896698,18.316384599458637,19.94433891185232
Poor or fair balance,Income IQR capping,32908,41590,19.535698742693974,18.825057134665105,20.243510346720957
Low satisfaction,Median / retain flags,7457,67041,5.894894934954981,4.699364826752028,7.087593924035194
Low satisfaction,Role-level median,7457,67041,5.894894934954981,4.699364826752028,7.087593924035194
Low satisfaction,Complete case,7059,63499,5.710376789444544,4.481750004952452,6.93577980147459
Low satisfaction,Exclude early-start flags,5677,50997,5.42683419651086,4.056269902679185,6.793952144838
Low satisfaction,Income IQR capping,7457,67041,5.894894934954981,4.699364826752028,7.087593924035194
Low recognition,Median / retain flags,29620,44878,0.560885466394162,-0.17177678247508305,1.293691280679813
Low recognition,Role-level median,29620,44878,0.560885466394162,-0.17177678247508305,1.293691280679813
Low recognition,Complete case,28094,42464,0.5741002565453512,-0.17884514353059658,1.3271535706851574
Low recognition,Exclude early-start flags,22492,34182,0.4195181606409304,-0.42087882191366704,1.2601093426674956
Low recognition,Income IQR capping,29620,44878,0.560885466394162,-0.17177678247508305,1.293691280679813
No promotions,Median / retain flags,37145,37353,3.5887251003698495,2.87178476631255,4.305146484583185
No promotions,Role-level median,37145,37353,3.5887251003698495,2.87178476631255,4.305146484583185
No promotions,Complete case,35216,35342,3.569658025296585,2.8326884741414053,4.306080663616848
No promotions,Exclude early-start flags,28316,28358,3.818447556602816,2.9963141401874163,4.6398515531486
No promotions,Income IQR capping,37145,37353,3.5887251003698495,2.87178476631255,4.305146484583185
Long commute (50+ recorded units),Median / retain flags,38548,35950,10.13481780856495,9.420464168296713,10.847654306557349
Long commute (50+ recorded units),Role-level median,38001,36497,10.29691365659634,9.58285124031131,11.009454718195087
Long commute (50+ recorded units),Complete case,35606,34952,10.50525160241908,9.771394674105379,11.237484660491782
Long commute (50+ recorded units),Exclude early-start flags,29380,27294,10.300976289095825,9.481732353048663,11.118194327514638
Long commute (50+ recorded units),Income IQR capping,38548,35950,10.13481780856495,9.420464168296713,10.847654306557349
