,Age,Years at Company,Monthly Income,Number of Promotions,Distance from Home,Number of Dependents,Gender_Male,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Work-Life Balance_Fair,Work-Life Balance_Good,Work-Life Balance_Poor,Job Satisfaction_Low,Job Satisfaction_Medium,Job Satisfaction_Very High,Performance Rating_Below Average,Performance Rating_High,Performance Rating_Low,Overtime_Yes,Education Level_Bachelor's Degree,Education Level_High School,Education Level_Master's Degree,Education Level_PhD,Marital Status_Married,Marital Status_Single,Job Level_Mid,Job Level_Senior,Company Size_Medium,Company Size_Small,Remote Work_Yes,Leadership Opportunities_Yes,Innovation Opportunities_Yes,Company Reputation_Fair,Company Reputation_Good,Company Reputation_Poor,Employee Recognition_Low,Employee Recognition_Medium,Employee Recognition_Very High
Age,1.0,0.5373184182243149,-0.0035015634228976003,0.0006721606322715906,-0.004816231249766727,0.004240461166420161,-0.003467307338728833,-0.001432530655345412,-0.005703277587648689,0.0008256181768423633,0.0025022964706841767,-0.0006328148002364272,-0.0007963228288326689,-0.002955352565290366,-0.0007673410194034248,0.0022369150838138186,0.00040079454032410165,0.0013961093593752067,0.0004122803219115885,-0.0012935701791531465,-0.0004513014350934682,0.000563132302363951,0.00034164372577257575,0.002156014887641137,0.00344108065062139,-0.0033205809030215014,0.004929310240197418,0.003597029380544291,-0.003424399861486314,-0.005407685522359531,0.0052855373442421616,-0.0007023754732303797,-0.002444406030805128,0.0013339442972559125,0.002944449827866996,-0.00331710852244636,-0.00022274099906251693,0.0013890072922501091,-0.0046664011948112,-0.0009479365518955086
Years at Company,0.5373184182243149,1.0,-0.007055019142125441,0.00093856999025156,-0.005182538197325192,0.0050735261928535145,-0.001646507531099397,-0.0025601152685484083,-0.0021957024854470488,0.002507584656385311,-0.00016868672776533235,-0.0016326366029628281,-0.0010381737511658347,-0.0003506282094763263,-0.00027892230118132215,0.00044506028390280773,-0.00022638495761655457,-0.0013144864750850769,-0.00029324906450663293,-0.0015386834064597189,-0.0023065367859974126,-0.001550919104737409,-0.001840492523747586,0.00341545864447085,0.005053601876504898,0.0006537900542598774,0.00149438556431187,0.009259354907829543,-0.0031996703422292458,-0.007316976400510545,0.004497860467645599,-0.0005582262193105258,0.0003211356082470857,0.002313947809950884,0.004351994933297886,0.002177501247661408,-0.0033061943648408447,0.0025955292060595965,4.0646260937485496e-05,-0.00019342422931250218
Monthly Income,-0.0035015634228976003,-0.007055019142125441,1.0,0.0038169143934617205,-0.002446331668228592,-4.386314173889638e-05,-0.0021526264751112445,0.21461616747679108,0.20953898308302246,-0.21904994009802065,0.4725736830175465,-0.0020061060939220374,0.002575462107562916,-0.0026710920333655047,-0.002672091474260776,0.0031481525860871554,-0.008355600113890298,-0.0021325353395122244,-0.0022592047653559725,-0.006878249141137746,-0.0037541992997580315,-0.0003120068212489726,-7.673085912143834e-05,-0.003230851755092776,-0.0006204279079030233,0.004282065468971946,-0.002295362243045953,-0.006583592695595641,0.0014003267407475617,0.00037796271577556395,-0.0004203311778630753,-0.0006401051322934828,-0.005076389749120166,0.0005024853970433827,0.0020853711242011974,-0.003486133589869508,0.001247357760582155,0.003747807424485097,0.001747225513918786,-0.0016067524850843645
Number of Promotions,0.0006721606322715906,0.00093856999025156,0.0038169143934617205,1.0,-0.00720004100370576,-0.0020386890082078396,-0.0014744187809473677,0.01058362673241929,-0.004284810869096122,-0.004399164063059368,0.0021548790021519086,0.0016092728764257893,0.0033158806703801045,0.0030366206749154706,-9.873196969413968e-05,-0.0002136091629458568,0.0011134461080149097,-0.005259469483231651,0.003705794534482753,-0.003144521292522336,-0.0025440894183696096,0.0007573108102274771,-0.0028307142178155133,0.003041518748808889,0.0015100940716030532,-0.001553668715373377,0.004551280431295344,0.00229071934080569,-0.0011875216621221032,-0.0008094019520933313,0.002228785745188216,0.004703940171878207,-0.0025427076867215958,-0.0002868794518707598,-0.00242712673988387,0.001154652120042555,-0.0014637399533892516,0.0021897970711936814,0.0005332471557808936,0.005564040934319009
Distance from Home,-0.004816231249766727,-0.005182538197325192,-0.002446331668228592,-0.00720004100370576,1.0,-0.0014709119505356722,-0.0016793687449450218,0.002270696023742045,0.0009765018722249026,0.0013888377401630688,-0.00290783667649601,0.0006840079899039293,0.005869052563197553,-0.012242442583187456,0.003103611479342934,-0.008654165981688907,0.0014078956876400846,0.0052146888064271354,0.0021606911783135277,-7.916936748333719e-05,0.0032957536990110667,-0.002898085860522616,-0.001209134924156603,-0.0031767214558206707,0.0019300592795703521,-0.004875179433077058,0.0074190999217719706,0.001700595180175307,-0.0023209767650415663,0.005931915015098353,-0.0011771898718945517,-0.0030537348703941953,0.00032501818933810514,0.0028519816492212214,0.0014968724489581424,0.0006570348460286872,-0.00352051720558643,-0.0014150305391166624,0.0038462032666819503,-0.0010126157447757197
Number of Dependents,0.004240461166420161,0.0050735261928535145,-4.386314173889638e-05,-0.0020386890082078396,-0.0014709119505356722,1.0,0.0022216537460601755,-0.0014312957618331703,-0.0017394839411776746,-0.003289248741026955,0.0035647787825655456,0.0015781001354160955,-0.0025182404502703914,0.000929093828541293,0.0005963315338418942,-0.0027172906633608097,0.008725400405410902,-0.005856798386966706,-0.004527968456576389,-0.0017317591551441313,0.0017196767347479897,-0.006852074007027227,0.013477138743263659,0.0010117686898106152,-0.00673017365613703,0.003895030916762945,-0.0017022912681311664,-0.0016505849471576013,0.0036042230597183927,-0.006578680312747595,0.0013666129590966698,-6.710273658956142e-05,-0.006799660180378277,-0.003093338399323581,-0.006405409838665356,0.004418792482966805,0.003217831289367641,0.0008163149923560232,2.1326744394036855e-05,-0.002498845610395102
Gender_Male,-0.003467307338728833,-0.001646507531099397,-0.0021526264751112445,-0.0014744187809473677,-0.0016793687449450218,0.0022216537460601755,1.0,0.0020460636359119606,0.0013601847551934628,-0.005135447731433812,-0.006445464935376075,0.000632817768738737,0.0045612714533179635,-0.00863347276969893,0.003186091697751282,-0.005089538779288501,0.004731476174601041,-0.0006304717987955789,-0.001071773382713897,-0.008050366683416403,-1.3001916611357509e-05,0.002783550289060128,0.0018405054496923772,0.002102130894962111,-0.010247761431516863,0.004576352863696292,-0.003447657974879449,-0.0034146358454232805,0.005231425145322366,-6.126384578057866e-05,-0.004347283129157435,0.001942487622659305,0.0022609712932063044,0.0024003568131056893,0.001964710464771226,-0.005787070771959816,0.004976867472596205,-0.0033725145038628244,0.007424082252378768,-0.0013410451429677068
Job Role_Finance,-0.001432530655345412,-0.0025601152685484083,0.21461616747679108,0.01058362673241929,0.002270696023742045,-0.0014312957618331703,0.0020460636359119606,1.0,-0.22023073741461982,-0.1769409220988073,-0.23900552876238743,-0.008802529188466418,0.007332280821109137,-0.0002910030076729913,0.000797302577558681,0.0014572140993175601,-0.004691194111473243,0.0008462760085209917,-0.0030973775032356403,-0.005515296974556941,-0.002778605498955213,0.0005214841421609521,0.0005051450693499496,-0.0013128229534399968,0.0043277387782751425,-0.0009155307441449395,0.004661574784793488,-0.00404300573927804,0.0014165723575551123,0.002205315198598722,0.005045340848829178,-0.005630169105297381,-0.0050690481063395704,0.0025642836982489457,-0.0021969891382880185,-0.0030618842873828102,0.001735087934261428,0.003075144906340227,-0.003658590402720083,-0.0044365152325464546
Job Role_Healthcare,-0.005703277587648689,-0.0021957024854470488,0.20953898308302246,-0.004284810869096122,0.0009765018722249026,-0.0017394839411776746,0.0013601847551934628,-0.22023073741461982,1.0,-0.23888682002840161,-0.322679853015401,0.0017826677734685242,-0.0012815717342880481,-0.004310296141036212,0.006379197517286672,-0.0024023787287995755,0.002391188574394992,0.0040374398214076904,0.0014221101530791109,0.0060232123068510715,-0.004197833069303485,-0.004529785922981687,-0.00027863635037015386,0.0010647651084452513,-0.000986159869775658,0.004345829138800997,-0.005634776736121954,-0.003250142916357839,-0.0018281491555608477,0.005501065304311752,-0.004145157665637314,0.00024376325663585322,0.007066168261374807,-0.003556846644170504,-0.007427711734326585,0.00021432876616001367,0.005924417727728009,0.0007485117092642583,0.003075497544351188,0.00481797309686713
Job Role_Media,0.0008256181768423633,0.002507584656385311,-0.21904994009802065,-0.004399164063059368,0.0013888377401630688,-0.003289248741026955,-0.005135447731433812,-0.1769409220988073,-0.23888682002840161,1.0,-0.25925205266766616,0.0035208212457503627,-0.0005367680023275008,0.0027133146322267615,-0.0027694113445624964,0.005246956951016868,0.0023552389940667447,0.0030056552142433287,0.002384642317466812,-0.00027148745790424615,0.005256201016512047,-0.0008638582699149523,0.0002902157213092324,0.003845908565059561,0.0017176354664635498,0.002967370065505697,-0.00427500958439655,-0.0016324866339733244,-0.0026209634444326413,-0.001687353839976402,0.004884748993252835,0.005093164011961838,-0.004942139520942559,-0.0012909876192211927,-0.0018228152235382552,0.006339111466030337,-0.00590679797926526,-0.004070244144442513,0.0036254496071628528,0.00284800101958778
