feature,action,reason,paired_with,abs_r
Age,keep,passes pairwise screen,,
Years at Company,keep,passes pairwise screen,,
Monthly Income,keep,passes pairwise screen,,
Number of Promotions,keep,passes pairwise screen,,
Distance from Home,keep,passes pairwise screen,,
Number of Dependents,keep,passes pairwise screen,,
Gender_Male,keep,passes pairwise screen,,
Job Role_Finance,keep,passes pairwise screen,,
Job Role_Healthcare,keep,passes pairwise screen,,
Job Role_Media,keep,passes pairwise screen,,
Job Role_Technology,keep,passes pairwise screen,,
Work-Life Balance_Fair,keep,passes pairwise screen,,
Work-Life Balance_Good,keep,passes pairwise screen,,
Work-Life Balance_Poor,keep,passes pairwise screen,,
Job Satisfaction_Low,keep,passes pairwise screen,,
Job Satisfaction_Medium,keep,passes pairwise screen,,
Job Satisfaction_Very High,keep,passes pairwise screen,,
Performance Rating_Below Average,keep,passes pairwise screen,,
Performance Rating_High,keep,passes pairwise screen,,
Performance Rating_Low,keep,passes pairwise screen,,
Overtime_Yes,keep,passes pairwise screen,,
Education Level_Bachelor's Degree,keep,passes pairwise screen,,
Education Level_High School,keep,passes pairwise screen,,
Education Level_Master's Degree,keep,passes pairwise screen,,
Education Level_PhD,keep,passes pairwise screen,,
Marital Status_Married,keep,passes pairwise screen,,
Marital Status_Single,keep,passes pairwise screen,,
Job Level_Mid,keep,passes pairwise screen,,
Job Level_Senior,keep,passes pairwise screen,,
Company Size_Medium,keep,passes pairwise screen,,
Company Size_Small,keep,passes pairwise screen,,
Remote Work_Yes,keep,passes pairwise screen,,
Leadership Opportunities_Yes,keep,passes pairwise screen,,
Innovation Opportunities_Yes,keep,passes pairwise screen,,
Company Reputation_Fair,keep,passes pairwise screen,,
Company Reputation_Good,keep,passes pairwise screen,,
Company Reputation_Poor,keep,passes pairwise screen,,
Employee Recognition_Low,keep,passes pairwise screen,,
Employee Recognition_Medium,keep,passes pairwise screen,,
Employee Recognition_Very High,keep,passes pairwise screen,,
