feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
Age,0.7068473757744188,0.013448406360121623,-0.008419670633359591,-0.01133305500726372,0.0021767897611157257,-0.7063690472187274,0.028105526120270768,-0.0010677657652778786,-0.007826375051525973,0.009602574386086787,-0.000491935754307017,0.0037158179906644807,-0.0012686587566849744,0.0036830232612304267,0.0045288777040154654,-0.0012558979669596668,-0.0010460451031096124,-0.0005647186229011847,-0.0012784400828583053,0.001927984874607955,-0.00012108831208187539,-0.0007757929347643153,0.00018646171771434321,-0.0008121296755518793,-0.0008098684397543388,0.0009484394285028381,0.0025412699873773492,-0.0022734627267505456,0.000835480201542063,-0.0008081588332382978,-0.001023430000052054,-0.00043948665867771106,-0.0002352527747412988,0.0010773595116479156,0.0007227953908458499,-0.00025137381505189863,0.0010607762240037973,-0.0007077203137474182,0.0010522111149755347,0.0006414361192632077
Years at Company,0.7069184687617743,0.007495154667469995,-0.007180913928916015,-0.009688044629578393,0.002617284860370548,0.7064968860056776,-0.024405472893432874,0.007608101724190392,0.005684189517474118,-0.009251519643726195,0.0003029836031807966,-0.009040372010125147,0.0021934758215538426,-0.0015679191772976003,-0.0017103951315423273,0.0026807365655854088,0.0017907349640282496,0.0025005160442792204,0.0028971563718550937,-0.0020247988256886715,-2.3651721040010245e-05,0.0014627179219601125,0.0002187147879679472,0.000596314177016668,-0.00023265560903468771,-0.001445599721410377,-0.002482652074564268,0.0023437354383560763,-0.0015937430646436738,0.0009282195494346656,0.001561841078745046,0.0003134921360709536,-0.000693188992443769,0.000184786484587999,-0.0006282226065755761,0.0004722852567562444,-0.0007888876382841704,-0.0005761443671714459,-0.0014609018760440547,-0.0009528452749505468
Monthly Income,-0.015355961400088764,0.9606616382025199,-0.07489549792349054,-0.006600868208949839,-0.014537023986585393,0.004236567829355593,-0.0021710949486156705,0.00026729059889680877,-0.003646596112809264,0.004739132165459764,-0.0014700091466910165,0.0011624464299158505,-0.0030941032619292014,0.008977640486216715,0.07114700133091705,0.007494806802914471,-0.002535594466660074,-0.00382273640760308,-0.00204569434830508,0.004002929337059341,-0.004767374440438539,0.12024448856649558,0.012405752126238005,0.08764524607133267,-0.06267980847940181,0.09028871254014365,-0.0026810022782585985,-0.003933546214422018,0.004420921845789537,0.0011809787210093764,-0.002253181209118618,-1.2169012938177681e-05,-0.0004927356078643745,0.0005247535515998242,0.0015288761109582827,0.001119089634582026,-0.000529057961485363,0.0002744994045811716,0.0016309053596299528,-0.17681634382095424
Number of Promotions,0.0021581916895105817,0.0643800643037577,0.7089510460755916,-0.15906911810161573,0.6840002511452719,-0.0002730048001344035,0.003925124466300611,0.001313161335936593,-0.0004647582403163042,-0.002011712570344909,-0.0004430469174255894,-0.001621623122086857,-0.00040694395707337877,0.0009577421944420572,0.0014728140484360774,0.001600161047594778,-0.0008431395771681394,-0.0005459105680655357,0.001943509176586089,-0.0008364428019152215,-0.002517461078569418,-0.00361404182231502,-0.002088039625966414,0.0016649681129908278,-0.0013959909304147172,0.002234362419130484,-0.00043831069222094454,0.0008207278212196134,0.0001986601402268473,6.0114419589807344e-05,-0.0004966550036323014,-0.00013302932886542773,-0.0010709020465185168,-0.0018676121458614248,0.0008017341365170044,0.0010406325339853487,-0.0014581053381527986,-0.0005900541034412343,0.0005948090534703687,-0.0004574980658510197
Distance from Home,-0.013140703208911995,-0.046129364058437206,-0.6969929507740956,-0.2607914872770732,0.6661220481420043,0.0007476856240063376,0.006743015314352896,-0.004930376656085235,0.0023418662615354857,-0.0013421144361769333,-0.002865224501468408,-0.0016049321280153517,0.0007994038289627775,0.0007294024033576985,-0.0011116664598129627,-0.0018243229962466717,0.0035727180304296665,-0.0016514774832670411,0.0013051560039651598,0.00520244874852864,-0.0016135312558273863,-0.001363427524006807,0.0012633415616503723,0.002341437306580263,0.0005454146247347996,-0.0017986158639679214,-0.0011308616624813028,-0.002070067537699033,-0.00048777841123542887,0.0021064457896197153,-0.0013983228837874395,0.0002339219512616647,-0.0010559038479733343,0.0012473800718947325,-0.0002739273330690517,-0.0005041890463057114,-0.0001767646544837964,0.0005701922343190058,0.0003425429579865247,-0.0004987409186721636
Number of Dependents,0.012265112018683879,0.005079996299491962,-0.0732178718126616,0.9519484482355105,0.2967695480219418,-0.0012822928224099734,-0.0030708949022592424,0.005014735218154549,0.0006855940752743678,-0.002953630819106101,0.0025502791292776926,0.0022761953362912812,0.006064262766063394,-0.0015632290493398648,0.0022114344471629854,-0.0008376508704686855,0.0014889249967063867,-0.005985593390050156,-0.0033176572084077163,-0.00014347185400093165,0.0008146793903357919,0.0012849449797603107,0.0004532731624412355,-0.0007147575821187489,-0.00036638802590969674,0.002350364198369613,-0.00038141365663281815,0.003026251328671103,0.00035122018748443874,-0.0028518860797228165,0.001412197351909665,-0.001122679525134198,-0.0007135272898807499,0.0003026873750890946,0.0016401708220842304,0.0007995296212907968,0.00037621538937632204,0.0003522309955155678,-0.00043716438961821646,0.00012576213381010337
Gender_Male,-0.0013748825114139281,-0.0014919602930086595,0.00010933948313621156,0.0018935757154891208,-0.0009631950623731622,0.0030749935403533366,0.00858727163764561,0.004922467018164074,-0.01076640103496343,-0.019207276115101618,0.016238915308597855,-0.029820406798869048,0.019705700946629406,0.9923171858989106,-0.10651458662294908,-0.004209655413452237,0.010397353045104848,-0.026488043022473345,0.011383754989074374,0.02261550059808995,-0.005679346450098929,-0.005462366323079573,-0.004124644409344336,0.008885908481165355,-0.005389655166361265,0.001958280979657223,-0.00565598837235895,0.0021865051870142704,-0.0020663467868295565,-0.007991791559423094,0.0036514551730997655,-0.0020963489195097666,-0.0007077358510204669,0.002186594247284346,-0.0009301592373298084,0.004300036280634183,-0.0005763292586898894,0.0023767615872594128,-0.00023042805547135448,0.002513479157528864
Job Role_Finance,-0.0014262840132182979,0.06667296827612026,-0.0030887406626554648,-0.001953485148338721,0.0023124150345818217,-0.00040303029528307097,-0.003375106711137721,-0.00034048742171560384,0.003912853717253778,0.0032799971050322396,0.009236251239142693,-0.00508060471022137,0.0005202961863917943,0.010931606541063121,0.05153994136910689,-0.0007369212759859717,0.009541244859959644,-0.009270646494071805,0.005906286677921297,0.016217210812622167,-0.038002846613028024,0.7206196752935756,0.008583135624977305,-0.25645596342101135,0.1808082288179677,-0.2753076083553235,0.006173683152493836,0.010327467631106313,-0.0029115838519258724,-0.00010136752557357576,-0.006079520588467668,0.007804289669429143,-0.005306344170198785,0.001438020674298962,0.004313191277013663,0.0045345662604504185,0.0021900779725430863,-0.003775539705120956,-0.0018318571458572075,0.5447242359359319
Job Role_Healthcare,-0.0026792425749943443,0.08134910450333413,-0.00870289965980342,-0.0012182542079353098,-0.0028858995578860402,0.005387511877032264,0.0068154960836109,0.00869349726947075,-0.0036189351650146584,0.004730019644691608,-0.0015391135894709113,-0.00842277342740301,-0.0269346054063764,0.07708485541941787,0.7503769459882743,0.06269838939661268,-0.03630384618361325,-0.03335470520837369,0.005548716119172806,-0.007634651227438699,0.025556389131803536,-0.4170522619140986,-0.013599925586885895,0.017594914269618296,-0.00275942237423339,0.020384224006229464,-0.002054397660822299,-0.002106494331909431,0.00040103672567882304,-0.0013816159770706632,0.003950351272024616,0.0008030830949293244,0.0015742892837500091,-0.00014205583468385186,-0.003332847960466734,-0.002996628646086085,-0.004248342401608211,0.00036564803432440757,-0.0033621990809376,0.49118585023096845
Job Role_Media,0.0016252936465280664,-0.09773955817822536,0.006547564064964928,-0.0004978147654314813,0.00028242112453424895,3.418702336511776e-05,0.003892528591685318,-0.0037620471370294686,-0.005064611036537298,0.004240956515426553,-0.0015534080244090694,-0.0020034478139139833,0.0003336989341721549,-0.016445887198441173,-0.08073173610323736,-0.0009605403267980706,0.007387325482070453,-0.007402855850870957,-0.003233165254618947,0.0028860442047618506,-0.007804726298535045,0.27704445686479984,0.0564942129363777,0.5487634325818084,-0.3978562264028078,0.5761787264319739,-0.0052731490664825326,-0.01775686965047322,0.012516771911282254,-0.0036581151682305163,-0.003379375062503548,0.004687536500854378,0.001593878204809683,-0.004555803546325982,0.006271150033666115,0.0016164847601005013,-0.0030967077723921543,-0.003103560056824106,-0.002237025219031394,0.33369077239509254
