component,explained_variance_ratio,cumulative_variance_ratio
1,0.13115194714177228,0.13115194714177228
2,0.09120413993164032,0.2223560870734126
3,0.08587801075214467,0.3082340978255573
4,0.08535932180452772,0.393593419630085
5,0.08461706521011671,0.4782104848402017
6,0.039474717657503496,0.5176852024977052
7,0.035374930731430644,0.5530601332291358
8,0.03251274269394478,0.5855728759230806
9,0.029667617904957623,0.6152404938280382
10,0.029072836881593643,0.6443133307096319
11,0.028855835910106823,0.6731691666197388
12,0.02473858353471877,0.6979077501544576
13,0.022237298340204242,0.7201450484946619
14,0.021135827673372364,0.7412808761680343
15,0.020209850173907928,0.7614907263419423
16,0.01873987676800298,0.7802306031099452
17,0.01717881701832011,0.7974094201282653
18,0.01701370970221725,0.8144231298304826
19,0.016966945536710968,0.8313900753671936
20,0.015411710281188356,0.8468017856483819
21,0.015141792575159895,0.8619435782235418
22,0.01415906426787326,0.8761026424914151
23,0.01315598793624846,0.8892586304276636
24,0.011738993184945671,0.9009976236126093
25,0.011616056021012853,0.9126136796336222
26,0.011584540194072162,0.9241982198276943
27,0.009609071740385383,0.9338072915680797
28,0.009515159925361566,0.9433224514934413
29,0.009438558775337579,0.9527610102687789
30,0.006958793787192939,0.9597198040559718
31,0.006704010163857179,0.9664238142198289
32,0.006225295586502634,0.9726491098063316
33,0.005364576907866781,0.9780136867141983
34,0.0040102450927900785,0.9820239318069884
35,0.00397603946287654,0.9859999712698649
36,0.0038576077733840117,0.989857579043249
37,0.003230035352239853,0.9930876143954889
38,0.0030696560698812267,0.9961572704653701
39,0.0024917352814583333,0.9986490057468284
40,0.0013509942531719423,1.0000000000000002
