Employee ID,Distance from Home Missing,Company Tenure (In Months) Missing,Early Start Flag,Tenure Definition Review,Income IQR Flag
8410,False,False,True,True,False
64756,False,False,False,True,False
30257,False,False,False,True,False
65791,False,False,False,True,False
65026,False,False,False,True,False
24368,False,False,False,False,False
64970,False,False,False,True,False
36999,False,False,False,True,False
32714,False,False,True,True,False
15944,False,True,False,False,False
29972,False,True,False,False,False
9063,False,True,False,False,False
21896,False,True,True,False,False
28098,False,True,True,False,False
22068,False,True,True,False,False
17696,False,False,False,True,False
55668,False,True,True,False,False
19288,False,True,False,False,False
17034,False,True,True,False,False
9697,False,True,False,False,False
17209,False,True,True,False,False
45399,True,True,False,False,False
58984,True,True,False,False,False
24208,True,True,False,False,False
14291,True,True,False,False,False
20748,False,True,False,False,False
13394,True,True,True,False,False
65251,True,False,False,True,False
6885,True,True,False,False,False
68576,True,False,True,True,False
69149,False,True,True,False,False
61864,True,True,False,False,False
29641,True,True,True,False,False
65586,True,True,False,False,False
15737,True,True,False,False,False
51448,True,True,False,False,False
12259,True,True,True,False,False
8881,True,False,False,True,False
17543,True,True,False,False,False
74472,True,True,False,False,False
64075,True,True,False,False,False
54804,True,True,False,False,False
24350,True,True,False,False,False
72189,True,True,False,False,False
36437,True,True,False,False,False
34857,True,False,True,True,False
26304,True,False,False,False,False
33177,True,False,False,True,False
70003,True,True,False,False,False
63046,True,True,True,False,False
30924,True,True,False,False,False
5254,True,True,False,False,False
33430,True,True,True,False,False
67450,True,True,True,False,False
66579,True,True,False,False,False
54104,True,True,False,False,False
18361,True,True,False,False,False
4098,True,True,True,False,False
27742,True,True,True,False,False
1591,True,True,False,False,False
27451,True,True,False,False,False
58305,True,True,False,False,False
19684,True,True,False,False,False
9392,True,True,False,False,False
18598,True,True,False,False,False
70231,True,True,False,False,False
65665,True,True,False,False,False
64242,True,True,True,False,False
23287,True,True,False,False,False
12556,True,True,False,False,False
68364,True,True,False,False,False
31457,True,True,False,False,False
14169,True,True,False,False,False
43193,True,True,True,False,False
67257,True,True,False,False,False
52985,True,True,False,False,False
31826,True,True,False,False,False
64500,True,True,False,False,False
24841,True,True,False,False,False
62882,True,True,True,False,False
7424,True,True,False,False,False
9870,True,True,False,False,False
6688,True,True,False,False,False
3625,True,True,False,False,False
66157,True,True,False,False,False
46550,True,True,True,False,False
60485,True,True,False,False,False
26078,True,True,True,False,False
13319,True,True,False,False,False
65739,True,True,False,False,False
43732,True,True,False,False,False
45545,True,True,False,False,False
72101,True,True,False,False,False
46992,True,True,False,False,False
54577,True,True,False,False,False
23371,True,True,False,False,False
41178,True,True,False,False,False
17004,True,True,False,False,False
18068,True,True,False,False,False
19252,True,True,False,False,False
65212,True,True,False,False,False
36263,True,True,False,False,False
23691,True,True,False,False,False
20242,True,True,False,False,False
52881,True,True,False,False,False
32705,True,True,False,False,False
71450,True,True,False,False,False
29475,True,True,False,False,False
34465,True,True,False,False,False
21012,True,True,True,False,False
42659,True,True,False,False,False
47934,True,True,False,False,False
71441,True,True,False,False,False
63893,True,True,True,False,False
29637,True,True,False,False,False
38110,True,True,False,False,False
70639,True,True,False,False,False
8021,True,True,False,False,False
28368,True,True,False,False,False
575,True,True,False,False,False
49959,True,True,False,False,False
72401,True,True,False,False,False
24980,True,True,False,False,False
11385,True,True,False,False,False
4856,True,True,False,False,False
14265,True,True,False,False,False
370,True,True,False,False,False
25774,True,True,False,False,False
53105,True,True,False,False,False
40919,True,True,False,False,False
63135,True,True,False,False,False
65852,True,True,False,False,False
32413,True,True,False,False,False
71343,True,True,False,False,False
27498,True,True,False,False,False
57482,True,True,True,False,False
38163,True,True,True,False,False
55188,True,True,False,False,False
43292,True,True,False,False,False
72087,True,True,True,False,False
23689,True,True,False,False,False
41073,True,True,True,False,False
24229,True,True,False,False,False
26101,True,True,False,False,False
18495,True,True,False,False,False
70389,True,True,True,False,False
13011,True,True,False,False,False
34213,True,True,True,False,False
1115,True,True,True,False,False
68988,True,True,True,False,False
36546,True,True,False,False,False
12809,True,True,True,False,False
46298,True,True,False,False,False
37508,True,True,True,False,False
51580,True,True,False,False,False
43465,True,True,True,False,False
36678,True,True,False,False,False
41684,True,True,False,False,False
70584,True,True,True,False,False
19528,True,True,False,False,False
69121,True,True,True,False,False
18487,True,True,False,False,False
20960,True,True,False,False,False
4392,True,True,False,False,False
6112,True,True,False,False,False
40908,True,True,True,False,False
53019,True,True,False,False,False
19879,True,True,False,False,False
63588,True,True,False,False,False
58518,True,True,False,False,False
62060,True,True,True,False,False
1127,True,True,False,False,False
59154,True,True,True,False,False
37737,True,True,False,False,False
8386,True,True,False,False,False
45849,True,True,False,False,False
61853,True,True,True,False,False
37320,True,True,False,False,False
29497,True,True,True,False,False
3777,True,True,False,False,False
62193,True,True,False,False,False
50742,True,True,False,False,False
65915,True,True,True,False,False
51389,True,True,False,False,False
48390,True,True,False,False,False
27698,True,True,False,False,False
35432,True,True,False,False,False
59888,True,True,False,False,False
32936,True,True,False,False,False
46731,True,True,False,False,False
5437,True,True,False,False,False
38452,True,True,False,False,False
1744,True,True,True,False,False
13298,True,True,False,False,False
62811,True,True,True,False,False
21924,True,True,False,False,False
21668,True,True,False,False,False
2631,True,True,False,False,False
26369,True,True,False,False,False
9740,True,True,True,False,False
63053,True,True,False,False,False
10997,True,True,False,False,False
48313,True,True,False,False,False
32586,True,True,False,False,False
48664,True,True,False,False,False
40055,True,True,True,False,False
33249,True,True,False,False,False
12148,True,True,False,False,False
25555,True,True,False,False,False
67005,True,True,False,False,False
32739,True,True,False,False,False
72993,True,True,True,False,False
56992,True,True,True,False,False
39770,True,True,False,False,False
11760,True,True,False,False,False
10728,True,True,False,False,False
56207,True,True,True,False,False
61041,True,True,False,False,False
44027,True,True,False,False,False
44324,True,True,False,False,False
30266,True,True,False,False,False
11070,True,True,False,False,False
73806,True,True,True,False,False
36084,True,True,False,False,False
10766,True,True,False,False,False
69113,True,True,False,False,False
39930,True,True,False,False,False
23154,True,True,False,False,False
73725,True,True,True,False,False
36925,True,True,False,False,False
11408,True,True,False,False,False
57096,True,True,True,False,False
41895,True,True,False,False,False
21808,True,True,True,False,False
8762,True,True,False,False,False
49173,True,True,True,False,False
31692,True,True,False,False,False
68269,True,True,False,False,False
2806,True,True,False,False,False
30591,True,True,True,False,False
37357,True,True,False,False,False
49333,True,True,False,False,False
29892,True,True,False,False,False
66517,True,True,False,False,False
66253,True,True,False,False,False
533,True,True,True,False,False
17365,True,True,False,False,False
71666,True,True,False,False,False
73013,True,True,True,False,False
65545,True,True,False,False,False
14039,True,True,True,False,False
26339,True,True,False,False,False
45072,True,True,True,False,False
47491,True,True,False,False,False
69251,True,True,False,False,False
41371,True,True,False,False,False
28119,True,True,False,False,False
21395,True,True,True,False,False
45252,True,True,True,False,False
46811,True,True,False,False,False
33046,True,True,False,False,False
62819,True,True,False,False,False
37344,True,True,False,False,False
37884,True,True,True,False,False
68477,True,True,True,False,False
32903,True,True,False,False,False
14566,True,True,False,False,False
7008,True,True,True,False,False
40568,True,True,True,False,False
18339,True,True,False,False,False
53500,True,True,False,False,False
63764,True,True,True,False,False
4886,True,True,True,False,False
26495,True,True,False,False,False
34214,True,True,False,False,False
10370,True,True,True,False,False
67873,True,True,True,False,False
44909,True,True,False,False,False
34195,True,True,False,False,False
71455,True,True,True,False,False
51855,True,True,False,False,False
21420,True,True,False,False,False
54830,True,True,False,False,False
41286,True,True,False,False,False
21565,True,True,False,False,False
51355,True,True,False,False,False
38941,True,True,False,False,False
69899,True,True,False,False,False
24472,True,True,True,False,False
70945,True,True,True,False,False
4017,True,True,False,False,False
17833,True,True,False,False,False
16312,True,True,False,False,False
55211,True,True,True,False,False
37898,True,True,True,False,False
29564,True,True,False,False,False
37402,True,True,False,False,False
20371,True,True,True,False,False
33010,True,True,True,False,False
29598,True,True,False,False,False
16530,False,True,False,False,False
2874,True,True,True,False,False
59078,True,True,False,False,False
3232,False,True,False,False,False
35125,False,True,False,False,False
57726,True,True,False,False,False
1504,True,True,False,False,False
32803,True,True,True,False,False
25430,False,True,False,False,False
30097,True,True,False,False,False
70099,True,True,False,False,False
58293,False,True,False,False,False
18057,False,True,False,False,False
50515,True,True,False,False,False
25446,True,True,False,False,False
20659,False,True,False,False,False
62366,False,True,False,False,False
29186,False,True,False,False,False
34887,True,True,True,False,False
2778,False,True,True,False,False
40241,False,True,False,False,False
31345,False,True,False,False,False
1619,False,True,False,False,False
63805,False,True,False,False,False
44300,False,True,False,False,False
74238,False,True,True,False,False
54879,False,True,False,False,False
45188,False,True,False,False,False
22927,False,True,False,False,False
30456,False,True,True,False,False
11681,False,True,False,False,False
65606,False,True,False,False,False
53038,False,True,False,False,False
66282,False,True,True,False,False
29104,False,True,False,False,False
9479,False,True,False,False,False
65550,False,True,False,False,False
59722,False,True,False,False,False
58351,False,True,False,False,False
63606,False,True,False,False,False
67095,False,True,True,False,False
9831,False,True,False,False,False
5107,False,True,False,False,False
48442,False,True,False,False,False
62576,False,True,False,False,False
37299,False,True,False,False,False
50134,False,True,True,False,False
6749,False,True,False,False,False
43974,False,True,True,False,False
43610,False,True,False,False,False
23244,False,True,False,False,False
27020,False,True,False,False,False
4388,False,True,False,False,False
58856,False,True,True,False,False
42687,False,True,False,False,False
68838,False,True,False,False,False
70466,False,True,False,False,False
50747,False,True,False,False,False
6702,False,True,True,False,False
54325,False,True,True,False,False
8417,False,True,False,False,False
72017,False,True,False,False,False
57636,False,True,False,False,False
58005,True,True,False,False,False
37679,False,True,False,False,False
28826,False,True,False,False,False
1671,False,True,False,False,False
40379,False,True,True,False,False
37902,False,True,True,False,False
43721,False,True,False,False,False
74270,False,True,True,False,False
17438,False,True,True,False,False
53940,True,True,False,False,False
34958,False,True,False,False,False
34421,False,True,False,False,False
52120,False,True,False,False,False
71167,True,True,False,False,False
4566,False,True,False,False,False
73165,False,True,False,False,False
41136,False,True,False,False,False
713,False,True,True,False,False
22380,False,True,False,False,False
37553,True,True,False,False,False
55874,False,True,False,False,False
47635,False,True,False,False,False
49049,False,True,False,False,False
2938,True,True,True,False,False
46092,False,True,True,False,True
53280,False,True,False,False,False
34591,False,True,False,False,False
44870,False,True,True,False,False
3983,False,True,False,False,False
73796,False,True,False,False,False
58435,False,True,True,False,False
52870,False,True,False,False,False
65694,False,True,False,False,False
61008,False,True,False,False,False
29773,True,True,False,False,False
29910,False,True,False,False,False
49862,False,True,False,False,False
46795,False,True,False,False,False
44795,True,True,False,False,False
5069,True,True,True,False,False
32775,False,True,False,False,False
52838,False,True,False,False,False
41695,True,False,False,True,False
40596,False,False,False,True,False
19737,False,True,False,False,False
62731,False,False,False,True,False
27238,True,False,True,True,False
38308,True,True,False,False,False
71715,False,False,False,True,False
18356,False,True,False,False,False
7578,False,False,False,True,False
47189,False,False,False,True,False
2759,False,False,False,False,False
7636,True,False,True,True,False
39487,False,False,False,True,False
12430,False,False,True,True,False
56688,False,True,False,False,False
68130,False,False,False,True,False
20291,True,False,True,False,False
36253,False,True,True,False,False
21617,False,False,False,True,False
39832,True,False,False,True,False
61025,False,False,False,True,False
51893,False,False,False,True,False
1742,False,False,False,True,False
50440,False,False,False,True,False
54005,False,False,True,True,False
59180,False,False,False,True,False
46946,False,True,False,False,False
18882,False,False,False,True,False
44216,False,False,False,True,False
22360,False,False,False,True,False
8218,False,False,False,True,False
58615,False,False,False,True,False
69176,False,False,False,True,False
4208,True,False,False,True,False
42559,False,True,False,False,False
9283,False,False,False,True,False
22828,False,False,False,True,False
30539,True,False,False,False,False
4912,False,False,False,True,False
57755,False,False,False,True,False
69926,True,True,False,False,False
56729,False,False,False,True,False
58212,False,True,False,False,False
24523,False,True,False,False,False
69159,False,False,False,True,False
8785,False,False,False,True,False
64781,True,False,False,True,False
16308,False,False,False,True,False
42744,False,True,False,False,False
41600,False,False,False,True,False
51144,False,False,False,True,False
52015,False,False,False,True,False
71157,False,False,False,True,False
