contrast,job_role,exposed_n,reference_n,difference_pp,ci_low_pp,ci_high_pp
Overtime,Education,5080,10578,5.408592041423072,3.736456350392634,7.076484735797411
Overtime,Finance,3380,7068,5.547479598021587,3.5001741352104974,7.590513968933496
Overtime,Healthcare,5517,11557,7.172026699071949,5.570182186003776,8.769348418192422
Overtime,Media,3987,8009,5.452255978765802,3.555002598115517,7.3460038714412255
Overtime,Technology,6377,12945,5.9213728750598165,4.423678869204174,7.416369485605983
Limited remote access,Education,12693,2965,27.873530164745375,26.042374241126627,29.649437919547715
Limited remote access,Finance,8514,1934,27.82867029157402,25.59952927467189,29.96767123450163
Limited remote access,Healthcare,13817,3257,27.864607435287997,26.135462896889543,29.541517290664736
Limited remote access,Media,9655,2341,28.168232912012925,26.131697627175747,30.130482497981376
Limited remote access,Technology,15621,3701,28.67060517073565,27.065516242350014,30.228065111434017
Poor or fair balance,Education,6930,8728,19.271066035502336,17.717372874389618,20.811178150472422
Poor or fair balance,Finance,4508,5940,19.294378269533553,17.385182437728385,21.183773893425666
Poor or fair balance,Healthcare,7521,9553,20.739099995569816,19.254524211757424,22.210517068625634
Poor or fair balance,Media,5369,6627,18.937164862539486,17.16262606975361,20.694947417561668
Poor or fair balance,Technology,8580,10742,19.194000934831323,17.796263196191997,20.581122861658617
Low satisfaction,Education,1534,14124,3.534544287751956,0.9002367195871598,6.1593046035034575
Low satisfaction,Finance,1052,9396,7.538641959121827,4.3533528475056995,10.697357963260309
Low satisfaction,Healthcare,1769,15305,7.159743589412121,4.700213611343229,9.602634102373358
Low satisfaction,Media,1178,10818,6.882982239561114,3.87679545409563,9.869452059102441
Low satisfaction,Technology,1924,17398,5.13511004084633,2.781097157190795,7.482160122230866
Low recognition,Education,6186,9472,1.048834661528647,-0.5524471396988233,2.6498548282575642
Low recognition,Finance,4193,6255,0.769799614636929,-1.1814524126447894,2.7221236314359056
Low recognition,Healthcare,6800,10274,0.8618042116593561,-0.6679416080540684,2.391941063682854
Low recognition,Media,4715,7281,1.6448511451310044,-0.1831813571461477,3.47310801984098
Low recognition,Technology,7726,11596,-0.8687486923865395,-2.304040473632734,0.5681095220263156
No promotions,Education,7845,7813,3.504861119098701,1.9391495167847161,5.0681380695500655
No promotions,Finance,5071,5377,2.885296228922191,0.9705598277058431,4.797318440417346
No promotions,Healthcare,8590,8484,3.908297698221508,2.4104296835631684,5.403656243225285
No promotions,Media,6024,5972,4.228798136322759,2.4431322776669937,6.0106143813255795
No promotions,Technology,9615,9707,3.3364185293691726,1.9288955797336245,4.742095622293154
Long commute (50+ recorded units),Education,8083,7575,9.746644242551195,8.184660001891233,11.301770373746233
Long commute (50+ recorded units),Finance,5443,5005,8.848953728615678,6.9377621401222305,10.750542087323646
Long commute (50+ recorded units),Healthcare,8847,8227,10.713820592194173,9.220832443886595,12.199816195937704
Long commute (50+ recorded units),Media,6224,5772,9.854650230614247,8.073001331850683,11.627061615004834
Long commute (50+ recorded units),Technology,9951,9371,10.814732665999793,9.412487193373753,12.210760132337075
